ACCESSIONNUMBER	SIGNATURE_SEQ_KEY	ISSUERNAME	SIGNATURENAME	NAMEOFSIGNER	SIGNATURETITLE	SIGNATUREDATE
0001598715-24-000001	101	Belle Isle Craft Spirits, Inc.	/S/ Vincent Riggi	Vincent Riggi	Chief Executive Officer	2024-12-31
0002047480-24-000001	101	GGP SPV-1, LLC - Series 1	/s/ John Dowd	John Dowd	Manager of Issuer's Manager	2024-12-31
0002050452-24-000002	101	BGAC Main LLC	/s/ Eric S. Singer	Eric S. Singer	Managing Member of the Issuer's Manager	2024-12-31
0001585151-24-000002	101	Performing Capital, LP	/s/ Howard Rosencrans	Howard Rosencrans	Manager of the General Partner	2024-12-31
0002050208-24-000001	101	TPILLC Holdings LLC	/s/ Richard Resnick	Richard Resnick	Chief Executive Officer	2024-12-30
0001617125-24-000003	101	MemorialCare Surgical Center at Orange Coast, LLC	/s/ Meagan O. Davis	Meagan O. Davis	Attorney for Issuer	2024-12-31
0000898432-24-001050	101	Envirotech Vehicles, Inc.	/s/ Franklin Lim	Franklin Lim	Chief Financial Officer	2024-12-31
0002046343-24-000001	101	EquityZen Growth Technology Fund LLC - Series 2017	Phil Haslett	Phil Haslett	Manager Representative of Issuer's Manager	2024-12-31
0002047936-24-000002	101	Cerberus SFR IDF Partners Series Interests of the SALI Multi-Series Fund, L.P.	/s/ Cameron Vail	Cameron Vail	Managing Director of the General Partner	2024-12-31
0001982139-24-000002	101	K8 Fund I, LP	Andre Koo, jr	Andre Koo, jr	Manager of the general partner of the Issuer	2024-12-31
0002047936-24-000001	101	Blueberry Hill Insurance Fund Series Interests of the SALI Multi-Series Fund, L.P.	/s/ Cameron Vail	Cameron Vail	Managing Director of the General Partner	2024-12-31
0001315863-24-000894	101	PetroCap Partners IV, L.P.	/s/ William L. Britain	William L. Britain	Managing Director of the General Partner of Issuer	2024-12-31
0002050252-24-000001	101	Gaia Ventures SPV LLC, Series I	Tim Kelly	Tim Kelly	Administrator	2024-12-31
0002050469-24-000001	101	WAGMI 134 - WAGMI Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-31
0001837632-24-000001	101	H1 Insights, Inc.	/s/ Ariel Katz	Ariel Katz	Chief Executive Officer	2024-12-31
0002050427-24-000001	101	OurCrowd (Investment in Uko) L.P.	Caleb Chill	Caleb Chill	Chief Compliance Officer	2024-12-31
0002050193-24-000001	101	VERBENA VIOLET INVESTORS LLC	RAVINDRA GUPTA	RAVINDRA GUPTA	MANAGER	2024-12-31
0002035739-24-000001	101	Hudson Bay Real Estate Opportunities Fund LP	Scott Black	Scott Black	Chief Legal Officer & CCO of the Management Company	2024-12-31
0002007006-24-000002	101	Capacity Capital Fund II, LP	Jonathan Bragdon	Jonathan Bragdon	Managing Partner of the Manager of the General Partner	2024-12-31
0001879128-24-000004	101	Quilt Holdco, Inc.	/s/ Andrew Stern	Andrew Stern	Chief Executive Officer	2024-12-29
0001879128-24-000004	102	Quilt Holdings, LP	/s/ Andrew Stern	Andrew Stern	Chief Executive Officer	2024-12-29
0002007022-24-000002	101	Riceberg Ventures Premier Fund I, LP	Ankit Anand	Ankit Anand	Managing Partner of the Manager of the General Partner	2024-12-31
0002050360-24-000001	101	JETSON SUPPLY CHAIN TECHNOLOGIES INC.	/s/ Tanya Saigol	Tanya Saigol	Chief Executive Officer	2024-12-31
0002050397-24-000001	101	River Health Jul 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0002050398-24-000001	101	Innerworks Oct 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0002049310-24-000003	101	LHS V Private Equity Partners LP	/s/ Anthony Mirabile	Anthony Mirabile	Authorized Signatory	2024-12-31
0002050399-24-000001	101	HF Investments a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0002050400-24-000001	101	Rain AI May 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0002050401-24-000001	101	Starship I Nov 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0002050425-24-000001	101	OurCrowd (Investment in LSVP Growth FF) L.P	Caleb Chill	Caleb Chill	Chief Compliance Officer	2024-12-31
0002050402-24-000001	101	Archive Resale Inc Nov 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0001437749-24-038563	101	SG Vector Investment, LLC	/s/ Hannah Craven	Hannah Craven	Chief Executive Officer	2024-12-31
0002050403-24-000001	101	OPENINFER Inc Dec 2024 a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0001660933-24-000005	101	Agile Devices, Inc.	/s/ Benjamin Merewitz	Benjamin Merewitz	Chief Executive Officer	2024-12-31
0002050404-24-000001	101	CAN Synaptrix Inc Series A a Series of CGF2021 LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0002050359-24-000001	101	G DBricks 1 a Series of DB Master LLC	/s/ Brett Sagan	Brett Sagan	General Manager of Sydecar LLC	2024-12-31
0001986019-24-000009	101	Dextra Co-investment VII LP	/s/ Binayak R. Mishra	Binayak R. Mishra	Founding Partner of the GP of the Issuer's GP	2024-12-31
0001986019-24-000008	101	Dextra Co-investment VII (Lux) SCSp	/s/ Binayak R. Mishra	Binayak R. Mishra	Class A Manager of the Issuer's General Partner	2024-12-31
0002050424-24-000001	101	OurCrowd (Investment in Recog) L.P.	Caleb Chill	Caleb Chill	Chief Compliance Officer	2024-12-31
0001746139-24-000003	101	Auron Therapeutics, Inc.	/s/ Katharine Yen	Katharine Yen	Chief Executive Officer	2024-12-31
0002050180-24-000001	101	705 AVONDALE INVESTORS LLC	RAVINDRA GUPTA	RAVINDRA GUPTA	MANAGER	2024-12-31
0002050266-24-000001	101	ZRP Promenade Northwoods LLC	Timothy J. Walter	Timothy J. Walter	President of the Manager	2024-12-31
0001477932-24-008403	101	Winvest Group Ltd	/s/ Jeffrey Wong Kah Mun	Jeffrey Wong Kah Mun	CEO	2024-12-31
0002050380-24-000001	101	autarc Inc.	/s/Etienne-Noel Krause	Etienne-Noel Krause	Co-President	2024-12-31
0002050290-24-000001	101	AREIT Exchange REIT LLC	Taylor Paul	Taylor Paul	Board Manager	2024-12-31
0002050228-24-000001	101	ExSight Fund IV, LLC	/s/ James Murray	James Murray	Managing member of managing member	2024-12-31
0002029600-24-000002	101	CG Partners Limited Partnership	/s/ D'Arcy Doherty	D'Arcy Doherty	Corporate Secretary of the General Partner of the Issuer	2024-12-31
0000945621-24-001038	101	SIP Warwick Partners I AI - R&M, L.P.	/s/ Peter Heaps	Peter Heaps	Manager of the General Partner	2024-12-31
0000945621-24-001037	101	SIP Warwick Partners I QP - R&M, L.P.	/s/ Peter Heaps	Peter Heaps	Manager of the General Partner	2024-12-31
0002049904-24-000001	101	Atalaya Fund IX REIT LLC	Ivan Zinn	Ivan Zinn	Authorized Signatory	2024-12-31
0002050363-24-000001	101	NLV Co-Invest IV, L.P.	/s/ Craig Slutzkin	Craig Slutzkin	CFO of the General Partner	2024-12-31
0002049233-24-000002	101	Reelist, Inc.	/s/ Sean Worden	Sean Worden	President	2024-12-31
0002024679-24-000001	101	Main Street Solar Fund 2024 A, LLC	Stephen D. Miles	Stephen D. Miles	Manager of the Manager	2024-12-31
0001668333-24-000002	101	ResQ Pharma, Inc.	August H. Schupp	August H. Schupp	Director, CAO & General Counsel of Issuer	2024-12-31
0002050391-24-000001	101	SSD SPV I LLC - TAA SUNRAY SPV 2024	Anshuman Sinha	Anshuman Sinha	President	2024-12-31
0002042964-24-000002	101	VA-1025 Fund I, a series of SaxeCap, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002032412-24-000002	101	QU-0709 Fund I, a series of Caravan Health Ventures, LP	/s/ Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-31
0002050230-24-000001	101	Collective Global Fund I SCM, L.P.	/s/ Daniel Adamson	Daniel Adamson	AUTHORIZED SIGNATORY OF THE GP OF THE GP OF THE ISSUER	2024-12-30
0001460233-24-000001	101	Marathon UCITS Funds - International Equity Fund	/s/ Joe Diment	Joe Diment	Managing Director	2024-12-30
0001493152-24-052571	101	Anebulo Pharmaceuticals, Inc.	/s/ Daniel George	Daniel George	Acting Chief Financial Officer	2024-12-30
0001773867-24-000001	101	GRANATA BIO Corp	/s/ Evan Sussman	EVAN SUSSMAN	CHIEF EXECUTIVE OFFICER	2024-12-30
0002047161-24-000001	101	SC-1126 Fund I, a series of Outbound Capital Investments, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-30
0000911420-24-000303	101	OP Murphy Drive Investor, LLC	/s/ Allison McGuirk	Allison McGuirk	VP, Operations of the Managing Mbr of Mgr of Issuer	2024-12-30
0001866008-24-000001	101	Marathon UCITS Fund - Global Equity Fund	/s/ Joe Diment	Joe Diment	Managing Director	2024-12-30
0001583370-24-000001	101	Marathon UCITS Funds - Japan Equity Fund	/s/ Joe Diment	Joe Diment	Managing Director	2024-12-30
0001123292-24-000419	101	Mindful Health, Inc.	/s/ Jennifer Wood	Jennifer Wood	Chief Executive Officer	2024-12-30
0002043798-24-000001	101	Stratus Financial Income Fund II LLC	Don Ho	Don Ho	General Counsel	2024-12-30
0001839381-24-000002	101	Complus Asia Macro Fund Ltd	FRANCOIS HORA	FRANCOIS HORA	AUTHORISED SIGNATORY OF THE INVESTMENT MANAGER	2024-12-30
0000911420-24-000298	101	Nomadik Delta, LLC	/s/ Allison McGuirk	Allison McGuirk	Vice President, Operation of Manager of Issuer	2024-12-30
0000911420-24-000300	101	OP Murphy Drive, LLC	/s/ Allison McGuirk	Allison McGuirk	Vice President, Operation of Manager of Issuer	2024-12-30
0002035012-24-000003	101	Variata Inc.	Denise Kutnick	Denise Kutnick	CEO	2024-12-30
0000911420-24-000296	101	Nomadik Delta Investor, LLC	/s/ Allison McGuirk	Allison McGuirk	Vice President, Operation of Manager of Issuer	2024-12-30
0002050251-24-000001	101	RHB 2024 Investors LLC	/s/ Martin J. Dolfi	Martin J. Dolfi	Managing Partner of the Managing Member	2024-12-30
0002049374-24-000002	101	Copper Estates Fund LLC	Byron Elliott	Byron Elliott	Attorney	2024-12-30
0000911420-24-000301	101	OP Murphy Drive, LLC	/s/ Allison McGuirk	Allison McGuirk	Vice President, Operation of Manager of Issuer	2024-12-30
0002050415-24-000001	101	Token Metrics VIP Cudis SPV, a series of GCRx Master LLC	Erlisa Zherka	Erlisa Zherka	Manager of Manager of Issuer	2024-12-30
0002050416-24-000001	101	Bluesky Pivot Global, a series of GCRx Master LLC	Erlisa Zherka	Erlisa Zherka	Manager of Manager of Issuer	2024-12-30
0001583168-24-000001	101	Marathon UCITS Funds - European Equity Fund	/s/ Joe Diment	Joe Diment	Managing Director	2024-12-30
0002050417-24-000001	101	Perena Pivot Global, a series of GCRx Master LLC	Erlisa Zherka	Erlisa Zherka	Manager of Manager of Issuer	2024-12-30
0001592554-24-000001	101	Marathon UCITS Funds - Emerging Markets Equity Fund	/s/ Joe Diment	Joe Diment	Managing Director	2024-12-30
0002043797-24-000001	101	Stratus Financial Fund I LLC	Don Ho	Don Ho	General Counsel	2024-12-30
0002049274-24-000001	101	BL Qnovia B Holdings LLC	Andrew Roche	Andrew Roche	Managing Member	2024-12-30
0000950123-24-012414	101	Guilford Capital Credit II U.S. LLC	/s/ Scott A. Betz	Scott A. Betz	Authorized Signor of the Issuer	2024-12-30
0000950123-24-012413	101	Guilford Capital Credit III Offshore LP	/s/ Scott A. Betz	Scott A. Betz	Authorized Signor of the General Partner	2024-12-30
0002042821-24-000002	101	DE-1024 Fund I, a series of Umami Capital, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-30
0002043902-24-000002	101	LI-1104 Fund I, a series of Heron Rock AL Access Funds, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-30
0000950123-24-012419	101	OIG Rodeo FS, LLC	/s/ Michael B. McVickar	Michael B. McVickar	General Counsel of the Managing Member of the Issuer	2024-12-30
0000950123-24-012421	101	Guilford Capital Credit III U.S. LLC	/s/ Scott A. Betz	Scott A. Betz	Authorized Signor of the Issuer	2024-12-30
0002027994-24-000002	101	JU-0607 Fund II, a series of Roll Up Vehicles, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-30
0001839376-24-000002	101	Complus Asia Macro US Feeder Fund Ltd	FRANCOIS HORA	FRANCOIS HORA	AUTHORISED SIGNATORY OF THE INVESTMENT MANAGER	2024-12-30
0001683168-24-009054	101	AppTech Payments Corp.	/s/ Thomas DeRosa	Thomas DeRosa	Chief Executive Officer	2024-12-30
0001958994-24-000002	101	Apollo Asia Fund Ltd	Claire Juliet Cecilia Barnes	Claire Juliet Cecilia Barnes	Director	2024-12-30
0002050361-24-000001	101	GT Development Portfolio Holdings, LP	Christopher R. Gruszczynski	Christopher R. Gruszczynski	Vice President	2024-12-30
0002050295-24-000001	101	Briton Court, LLC	Stephanie Ebert	Stephanie Ebert	Manager	2024-12-30
0001750239-24-000001	101	Care Papers, Inc.	Carl Rogers	Carl Rogers	CEO	2024-12-30
0002049188-24-000002	101	Long Angle Investments LLC - KKR-KPEC 2024 SPV	Matthew Shechtman	Matthew Shechtman	Managing Director	2024-12-30
0001482773-24-000001	101	Creative Finance & Investments, LLC	RKH	Rodney Keith Haynes	Owner	2024-12-30
0002043658-24-000002	101	Long Angle Investments LLC - LLCP 7 2024 SPV	Matthew Shechtman	Matthew Shechtman	Managing Director	2024-12-30
0001860191-24-000002	101	First Light Prism Feeder Fund, Ltd.	Kurt Peterson	Kurt Peterson	Director	2024-12-30
0002048771-24-000001	101	Mindscale AI Inc.	Seymour Duncker	Seymour Duncker	Chief Executive Officer	2024-12-30
0001538189-24-000003	101	Sonoro Gold Corp.	/s/ Kenneth MacLeod	Kenneth MacLeod	President & CEO	2024-12-30
0001863101-24-000002	101	Secure Companies, Inc.	/s/ David Duley	David Duley	Chief Executive Officer	2024-12-30
0002050364-24-000001	101	Collektion Investments LLC	Dale Hersowitz	Dale Hersowitz	Manager of Manager	2024-12-30
0001641241-24-000003	101	Cyrus Biotechnology, Inc.	Lucas Nivon	Lucas Nivon	Chief Executive Officer	2024-12-30
0001648490-24-000001	101	State Investments L.L.C.	Bruce E. Douglas	Bruce E. Douglas	Manager	2024-12-27
0002049792-24-000002	101	NEKCOM INC.	Chaoyi Ding	Chaoyi Ding	Attorney-in-Fact for Xiangyu Luo, President	2024-12-30
0001910203-24-000002	101	Silverstone Acquisitions, LP	Manoj Ramprakash	Manoj Ramprakash	CEO of General Partner	2024-12-26
0002028171-24-000001	101	S1Series Designated Activity Co	Rory Conway	Rory Conway	Director	2024-12-30
0002042970-24-000002	101	JU-1022 Fund I, a series of SaaSholic, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-30
0002050371-24-000001	101	DV Monarch 2024 NMTC Fund, LLC	James D. Howard, Jr.	James D. Howard, Jr.	President	2024-12-30
0002050281-24-000001	101	74 Burt St Investments LLC	Christopher Bulla	Christopher Bulla	Manager of the Issuer	2024-12-30
0002050037-24-000001	101	Redwood Minerals LLC	/s/ S. Rhett Gist	S. Rhett Gist	Managing Member	2024-12-30
0001901857-24-000001	101	Arini Credit International Fund Ltd	Veronica Buffoni	Veronica Buffoni	Director of the Issuer	2024-12-30
0002049310-24-000002	101	TPG Tech Adjacencies III Access Offshore LP	/s/ Richard Ruffer	Richard Ruffer	Manager of General Partner of the Issuer	2024-12-30
0002049310-24-000001	101	TPG Tech Adjacencies III Access LLC	/s/ Richard Ruffer	Richard Ruffer	Manager of Managing Member of the Issuer	2024-12-30
0001104659-24-132568	101	CRA-PHX CP, LLC	/s/ David W. Snyder	David W. Snyder	Authorized Representative	2024-12-27
0002042307-24-000002	101	Snow-CE-1016 Fund I, a series of AngelList Funds 2024, LP	Abraham Wilson	Abraham Wilson	Authorized Officer of the Agent of Issuer's GP	2024-12-30
0002049444-24-000001	101	Carrick Daylight Opportunity Fund II, L.P.	/s/ James C. Madden, V	James C. Madden, V	Managing Member of General Partner of the Issuer	2024-12-30
0001747998-24-000001	101	Inspectiv, Inc.	/s/ Ryan Disraeli	Ryan Disraeli	Chief Executive Officer	2024-12-27
0001595806-24-000003	101	Clear Labs, Inc.	Edward Fan	Edward Fan	Chief Financial Officer of the Issuer	2024-12-30
0002025679-24-000003	101	Infinitas Capital SPV III a series of Infinitas Capital Master LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-30
0001493152-24-052557	101	ARES STRATEGIC MINING INC.	/S/ JAMES WALKER	JAMES WALKER	CHIEF EXECUTIVE OFFICER	2024-12-30
0002049965-24-000001	101	Larvotto Resources Ltd	Cecilia Tyndall	Cecilia Tyndall	Secretary	2024-12-30
0002048136-24-000001	101	Carrick Daylight Opportunity Fund, L.P.	/s/ James C. Madden, V	James C. Madden, V	Managing Member of General Partner of the Issuer	2024-12-30
0002050394-24-000001	101	Series 53 - Allocations Funds LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-30
0002005539-24-000001	101	BMBC US Fund SPC - Opportunities Fund SP	/s/ Raymond Chan	Raymond Chan	Director of Blue Mountain Bridge Capital Limited	2024-12-26
0002013363-24-000011	101	JVM Realty Apartment Fund 10, LP	/s/Mae Behm	Mae Behm	Authorized Signatory	2024-12-30
0001104659-24-132557	101	Samsonite International S.A.	/s/ John B. Livingston	John B. Livingston	EVP, General Counsel and Joint Company Secretary	2024-12-30
0001104659-24-132556	101	Samsonite International S.A.	/s/ John B. Livingston	John B. Livingston	EVP, General Counsel and Joint Company Secretary	2024-12-30
0002029018-24-000001	101	Antelope Valley Joint Venture	/s/ Jeremy Paul	Jeremy Paul	President of Managing Venturer	2024-12-30
0002049494-24-000001	101	Satoshi Capital Baus LP	/s/ Daniel Truque	Daniel Truque	Manager of the General Partner	2024-12-30
0002020118-24-000001	101	Blaide, inc	Christopher Borders	Christopher Borders	Counsel	2024-12-30
0000892712-24-000146	101	GE - 448 W. MADISON STREET LLC	/s/ Michael Loy	MICHAEL LOY	PRESIDENT	2024-12-23
0002050386-24-000001	101	StratMinds SPV Mirai Tech, a series of StratMinds SPV LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-30
0002049530-24-000002	101	Sverica CF I Feeder LP	/s/ Jordan Richards	Jordan Richards	Manager of the General Partner of the Issuer	2024-12-30
0002050390-24-000001	101	Gaingels Synctera LLC	/s/ Paul Grossinger	Paul Grossinger	Manager Gaingels Management LLC, Manager	2024-12-30
0001104659-24-132548	101	Samsonite International S.A.	/s/ John B. Livingston	John B. Livingston	EVP, General Counsel and Joint Company Secretary	2024-12-30
0001635568-24-000001	101	Pearl Biotech & Life Sciences Fund, L.P.	Lynt Johnson	Lynt Johnson	Managing Member of Bravance Healthcare Investors, LLC	2024-12-30
0002049530-24-000001	101	Sverica Continuation Fund I LP	/s/ Jordan Richards	Jordan Richards	Manager of the General Partner of the Issuer	2024-12-30
0001104659-24-132547	101	Samsonite International S.A.	/s/ John B. Livingston	John B. Livingston	EVP, General Counsel and Joint Company Secretary	2024-12-30
0002031304-24-000001	101	KK SPV Military, a series of Atomizer LLC	Richard Thoms	Richard Thoms	Manager of the Issuer's Managing Member	2024-12-30
0001958483-24-000001	101	TPG NEXT (B), L.P.	/S/ MARTIN DAVIDSON	MARTIN DAVIDSON	CHIEF ACCOUNTING OFFICER OF THE GP OF THE GP OF THE ISSUER	2024-12-30
0002049508-24-000001	101	Level Ventures Strategic Co-Investment, L.P.	/s/ Albert Azout	Albert Azout	Member of the General Partner of the Issuer	2024-12-30
0001958268-24-000002	101	TPG NEXT (A), L.P.	/S/ MARTIN DAVIDSON	MARTIN DAVIDSON	CHIEF ACCOUNTING OFFICER OF THE GP OF THE GP OF THE ISSUER	2024-12-30
0000950123-24-012409	101	Promus Realty IV, LP	/s/Ryan Crawford	Ryan Crawford	General Counsel & Chief Compliance Officer of the GP	2024-12-30
